Date,IBM,INTC,AAPL,MSFT,DELL,ORCL,ADBE,NVDA,AMD,INTU,TSM,BABA,INFY,PDD,ABEV,IBN,BBD,CICHY,PBR,FSLR,PLUG,BLDP,BE,TSLA,ENPH,NEE
2018-01-02,106.68956756591797,39.330387115478516,40.52434539794922,79.63348388671875,21.592662811279297,41.771629333496094,177.6999969482422,4.930222034454346,10.979999542236328,151.1324462890625,34.413352966308594,177.35935974121094,6.729877948760986,26.700000762939453,5.23814058303833,9.596059799194336,6.194150447845459,11.788824081420898,3.6538126468658447,70.43000030517578,2.4200000762939453,4.400000095367432,25.0,21.368667602539062,2.5999999046325684,32.77009582519531
2018-01-03,109.62223052978516,37.9955940246582,40.517295837402344,80.00414276123047,21.8205623626709,42.73909378051758,181.0399932861328,5.254697799682617,11.550000190734863,151.5514373779297,34.99222183227539,177.69737243652344,6.67203950881958,26.700000762939453,5.269839286804199,9.576614379882812,6.279350757598877,11.88199234008789,3.7460122108459473,69.80000305175781,2.4200000762939453,4.360000133514404,25.0,21.149999618530273,2.5799999237060547,32.074947357177734
2018-01-04,111.84251403808594,37.29880142211914,40.705482482910156,80.70825958251953,22.208248138427734,43.16011047363281,183.22000122070312,5.2823967933654785,12.119999885559082,154.2652130126953,34.80766296386719,179.34881591796875,6.630726337432861,26.700000762939453,5.2619147300720215,9.547447204589844,6.326037883758545,12.093171119689941,3.756255865097046,69.13999938964844,2.4000000953674316,4.210000038146973,25.0,20.974666595458984,2.5,31.910131454467773
2018-01-05,112.388916015625,37.55904769897461,41.16893005371094,81.70890808105469,22.370656967163086,43.41991424560547,185.33999633789062,5.327160358428955,11.880000114440918,156.26478576660156,35.621437072753906,184.16787719726562,6.754665374755859,26.700000762939453,5.285688400268555,9.56689167022705,6.401904106140137,12.161495208740234,3.783574104309082,69.16999816894531,2.359999895095825,3.9700000286102295,25.0,21.10533332824707,2.4700000286102295,32.05591583251953
2018-01-08,113.06675720214844,37.55904769897461,41.01601028442383,81.79228973388672,22.36541748046875,43.87677764892578,185.0399932861328,5.490390300750732,12.279999732971191,156.36004638671875,35.60465621948242,183.810546875,6.808371543884277,26.700000762939453,5.246065616607666,9.576614379882812,6.3552165031433105,12.086959838867188,3.831381320953369,69.62000274658203,2.3299999237060547,4.079999923706055,25.0,22.42733383178711,2.4100000858306885,32.32004928588867
2018-01-09,113.31575012207031,36.618812561035156,41.01131820678711,81.7366943359375,22.0772705078125,44.11957550048828,186.6999969482422,5.4889044761657715,11.819999694824219,157.3430938720703,35.38653564453125,184.26446533203125,6.91578483581543,26.700000762939453,5.214366912841797,9.547447204589844,6.250170707702637,12.074539184570312,3.8040618896484375,70.0199966430664,2.319999933242798,4.269999980926514,25.0,22.246000289916992,2.380000114440918,32.083377838134766
2018-01-10,113.55785369873047,35.6785888671875,41.001895904541016,81.36610412597656,22.163715362548828,43.885765075683594,187.11000061035156,5.5319390296936035,11.960000038146973,156.0641326904297,34.64826583862305,183.28904724121094,7.019069194793701,26.700000762939453,5.23814058303833,9.44050121307373,6.261843204498291,12.093171119689941,3.773329019546509,69.63999938964844,2.3399999141693115,4.210000038146973,25.0,22.31999969482422,2.259999990463257,31.819276809692383
2018-01-11,113.57167053222656,36.44251251220703,41.234806060791016,81.60699462890625,22.745248794555664,44.02066421508789,188.9199981689453,5.541829586029053,12.140000343322754,155.57730102539062,34.4217414855957,182.28466796875,7.134745121002197,26.700000762939453,5.364933490753174,9.489112854003906,6.413575172424316,12.248451232910156,3.886017322540283,76.2699966430664,2.4000000953674316,4.269999980926514,25.0,22.530000686645508,2.4000000953674316,31.80025291442871
2018-01-12,112.83851623535156,36.299808502197266,41.66061019897461,83.0152816772461,22.724292755126953,44.52426528930664,195.0500030517578,5.514625549316406,12.020000457763672,157.0186004638672,34.55597686767578,181.3575439453125,6.944704532623291,26.700000762939453,5.285688400268555,9.70300579071045,6.419412136077881,12.45341968536377,3.916749954223633,73.41000366210938,2.3499999046325684,4.190000057220459,25.0,22.4146671295166,2.240000009536743,31.762216567993164
2018-01-16,113.32960510253906,36.215850830078125,41.448890686035156,81.85713958740234,22.551401138305664,44.59621047973633,192.4600067138672,5.4436469078063965,11.90999984741211,154.89967346191406,35.42848205566406,176.1521759033203,7.3454413414001465,26.700000762939453,5.349084377288818,10.21829605102539,6.477768898010254,12.801246643066406,3.9952902793884277,71.22000122070312,2.2799999713897705,4.03000020980835,25.0,22.67066764831543,2.0899999141693115,31.808698654174805
2018-01-17,116.64960479736328,37.265235900878906,42.133453369140625,83.5156021118164,23.080543518066406,45.20774459838867,196.49000549316406,5.557659149169922,12.180000305175781,156.80856323242188,36.18352127075195,177.533203125,7.485904693603516,26.700000762939453,5.372859001159668,10.61691665649414,6.641170501708984,13.105596542358398,4.138710975646973,72.0,2.309999942779541,4.019999980926514,25.0,23.143999099731445,2.0999999046325684,32.09185028076172
2018-01-18,116.97468566894531,37.34077453613281,42.17110824584961,83.47853088378906,23.153892517089844,45.171756744384766,196.1999969482422,5.5507330894470215,12.470000267028809,156.91358947753906,37.3916015625,178.0836639404297,7.403278827667236,26.700000762939453,5.3570098876953125,10.383578300476074,6.658679962158203,13.378886222839355,4.142126560211182,71.08999633789062,2.2699999809265137,4.0,25.0,22.971332550048828,1.940000057220459,31.859413146972656
