Ticker,Target price
INTC,37.0
MCHP,96.0
ADBE,465.0
AMD,130.0
MSFT,385.0
TXN,200.0
AAPL,225.0
HPQ,35.0
CRM,300.0
GOOGL,160.0
IBM,145.0
SHOP,85.0
TSLA,260.0
META,420.0
NFLX,510.0
ORLC,135.0
NVDA,675.0
RIVN,29.0
LI,45.0
ALB,155.0
DAR,66.0
OLED,165.0
ENEL.MI,8.1
FSLR,188.0
PCG,20.0
DUK,103.0
NEE,67.0
PEG,70.0
AYI,200.0
CEG,140.0
DELL,85.0
INTU,775.0
PLUG,6.0
TSMC,22.96
BABA,15.29
PDD,180.0
BBD,19.0
IBN,13.92
ABEV,3.11
Petrobas,8.72
