,Mkt-RF,SMB,HML,RMW,CMA,RF
20180601,1.06,-0.21,-0.11,-0.06,-0.17,0.006
20180604,0.48,0.18,-0.44,1.02,-0.43,0.006
20180605,0.16,0.78,-0.44,0.22,0.17,0.006
20180606,0.86,-0.27,0.2,-0.03,0.17,0.006
20180607,-0.14,-0.26,0.93,0.17,0.59,0.006
20180608,0.31,0.04,-0.4,0.24,-0.19,0.006
20180611,0.12,0.15,-0.16,0.2,0.24,0.006
20180612,0.23,0.18,-0.63,0.08,-0.15,0.006
20180613,-0.33,0.03,-0.2,-0.53,-0.18,0.006
20180614,0.27,0.2,-1,-0.04,-0.61,0.006
20180615,-0.08,0.12,-0.25,0.66,-0.22,0.006
20180618,-0.09,0.74,0.08,-0.41,0.1,0.006
20180619,-0.38,0.54,-0.14,-0.24,-0.46,0.006
20180620,0.23,0.66,-0.51,-0.15,0.1,0.006
20180621,-0.73,-0.55,0.34,0.45,0,0.006
20180622,0.11,-0.08,0.46,-0.52,0.92,0.006
20180625,-1.48,-0.45,0.57,0.62,-0.03,0.006
20180626,0.27,0.51,-0.24,-0.48,0.13,0.006
20180627,-1.02,-1.01,0.36,-0.06,0.47,0.006
20180628,0.58,-0.21,-0.51,-0.17,-0.52,0.006
20180629,0.07,-0.24,-0.24,-0.23,-0.01,0.006
20180702,0.36,0.45,-0.26,-0.08,-0.55,0.008
20180703,-0.44,0.76,-0.02,-0.29,0.45,0.008
20180705,0.87,0.39,-0.43,0.33,-0.18,0.008
20180706,0.88,-0.02,-0.3,-0.26,-0.14,0.008
20180709,0.93,-0.29,0.86,0.03,-0.22,0.008
20180710,0.21,-0.82,-0.17,0.11,0.27,0.008
20180711,-0.69,-0.06,-0.47,-0.12,-0.3,0.008
20180712,0.86,-0.44,-1.14,-0.04,-0.47,0.008
20180713,0.08,-0.18,-0.29,0.33,0.19,0.008
20180716,-0.16,-0.61,0.98,-0.2,-0.14,0.008
20180717,0.48,0.17,-0.76,0.11,-0.24,0.008
20180718,0.27,-0.14,0.67,-0.15,-0.17,0.008
20180719,-0.34,0.91,-0.36,0.16,0.04,0.008
20180720,-0.1,-0.17,0.13,0.11,-0.22,0.008
20180723,0.15,-0.2,0.55,-0.22,-0.18,0.008
20180724,0.22,-1.32,0.4,0.49,0.1,0.008
20180725,0.83,-0.59,-1.06,0.08,-0.37,0.008
20180726,-0.2,0.76,0.57,-0.04,0.59,0.008
20180727,-0.82,-1.21,1.06,0.52,0.48,0.008
20180730,-0.7,0.01,1.57,0.32,1.01,0.008
20180731,0.51,0.73,-1.11,0.28,0.25,0.008
20180801,-0.13,-0.02,-0.19,-0.19,-0.8,0.007
20180802,0.67,0.17,-0.68,0.01,-0.59,0.007
20180803,0.31,-0.93,0.51,0.64,0.35,0.007
20180806,0.46,0.22,-0.33,-0.31,-0.21,0.007
20180807,0.29,-0.02,-0.17,-0.31,-0.15,0.007
20180808,-0.04,-0.11,0.26,-0.02,-0.08,0.007
20180809,-0.05,0.34,-0.35,0.02,-0.25,0.007
20180810,-0.6,0.31,-0.21,-0.26,0.21,0.007
20180813,-0.46,-0.21,-0.29,0.3,0.02,0.007
20180814,0.69,0.32,0.21,0.35,0.18,0.007
20180815,-0.91,-0.52,-0.13,0.63,-0.1,0.007
20180816,0.86,-0.04,0.25,-0.08,0.4,0.007
20180817,0.3,0.13,0.02,0.22,0.2,0.007
20180820,0.25,0.15,0.14,0.11,0.13,0.007
20180821,0.33,0.92,0.12,-0.23,-0.23,0.007
20180822,0.05,0.29,-0.35,-0.5,-0.28,0.007
20180823,-0.19,-0.1,-0.33,-0.01,-0.19,0.007
20180824,0.62,-0.08,-0.57,-0.3,-0.19,0.007
20180827,0.74,-0.62,-0.16,-0.21,-0.36,0.007
20180828,-0.01,-0.12,-0.28,0.11,-0.06,0.007
20180829,0.56,-0.14,-0.58,-0.15,-0.28,0.007
20180830,-0.41,0.23,-0.42,-0.22,-0.13,0.007
20180831,0.08,0.45,-0.39,0.15,-0.14,0.007
20180904,-0.11,-0.33,0.01,-0.05,-0.15,0.008
20180905,-0.41,-0.04,0.66,0.46,0.59,0.008
20180906,-0.44,-0.37,-0.24,0.42,0.33,0.008
20180907,-0.18,0.08,-0.22,0.03,0.04,0.008
20180910,0.23,0.08,-0.37,0.07,-0.25,0.008
20180911,0.37,-0.34,-0.24,-0.13,-0.4,0.008
20180912,0.03,-0.12,-0.22,0.04,0.54,0.008
20180913,0.45,-0.49,-0.41,0.04,-0.04,0.008
20180914,0.12,0.31,0.25,-0.11,-0.06,0.008
20180917,-0.71,-0.35,0.84,0.32,0.75,0.008
20180918,0.57,0.03,-0.49,-0.24,-0.22,0.008
20180919,0.06,-0.5,1.28,-0.45,-0.01,0.008
20180920,0.77,0.29,-0.23,0.06,-0.09,0.008
20180921,-0.13,-0.42,0.3,0.22,0.65,0.008
20180924,-0.31,-0.05,-0.9,-0.48,-0.29,0.008
20180925,-0.05,0.19,-0.38,-0.35,-0.07,0.008
20180926,-0.4,-0.48,-0.64,0.48,0.11,0.008
20180927,0.27,-0.34,-0.55,0.11,-0.33,0.008
20180928,-0.03,0.34,-0.2,0.11,0.18,0.008
20181001,0.16,-1.62,0.34,-0.11,0.04,0.008
20181002,-0.21,-0.94,0.6,0.13,0.36,0.008
20181003,0.2,0.89,0.5,-0.37,-0.21,0.008
20181004,-0.93,-0.79,1.58,0.13,0.77,0.008
20181005,-0.64,-0.41,0.39,-0.38,0.42,0.008
20181008,-0.17,-0.23,1.22,0.52,0.64,0.008
20181009,-0.18,-0.41,0.29,-0.5,0.21,0.008
20181010,-3.33,0.41,1.12,0.22,0.79,0.008
20181011,-1.96,0.37,-0.93,0.43,-0.55,0.008
20181012,1.38,-1.11,-1.75,0.07,-0.43,0.008
20181015,-0.48,1,0.52,0.37,0.49,0.008
20181016,2.24,0.57,-1.43,-0.24,-0.69,0.008
20181017,-0.08,-0.61,0.25,-0.25,0.17,0.008
20181018,-1.54,-0.53,0.42,-0.34,0.38,0.008
20181019,-0.25,-1.27,0.71,0.45,0.56,0.008
20181022,-0.38,0.36,-1.25,1.1,-0.17,0.008
20181023,-0.62,-0.18,-0.42,0.1,-0.09,0.008
20181024,-3.33,-0.83,0.77,0.31,1.25,0.008
20181025,1.93,0.31,-0.59,-0.19,-1.09,0.008
20181026,-1.65,0.59,0.36,-0.35,0.5,0.008
20181029,-0.77,-0.1,1.6,-0.01,0.97,0.008
20181030,1.66,0.45,0.08,0.37,0.32,0.008
20181031,1.22,-0.7,-0.74,-0.41,-0.95,0.008
20181101,1.29,1.22,-1.14,-0.25,-0.49,0.008
20181102,-0.53,0.84,0.66,-0.46,0.22,0.008
20181105,0.4,-0.89,1.56,-0.49,0.76,0.008
20181106,0.58,-0.15,0.03,0.3,0.2,0.008
20181107,2.11,-0.51,-1.05,-0.39,-0.81,0.008
20181108,-0.28,-0.17,0.24,0.38,0.33,0.008
20181109,-1.04,-0.84,0.42,0.63,0.67,0.008
